name,source_id,ref_dmin_pc,our_dmin_pc,ref_lo_pc,ref_hi_pc,our_lo_pc,our_hi_pc,d_ratio,ref_tmin_kyr,our_tmin_kyr,mc_censored,grade,sys_dmin_pc,window_limited,catalog
Gliese 710,4270814637616488064,0.0636,0.052,0.0595,0.0678,0.0491,0.05537,0.817,1292.1,1295.8,0.0,A,0.00127,False,BJ2022
HD 7977,510911618569239040,0.0641,0.0377,0.0191,0.1171,0.01931,0.06335,0.589,-2761.0,-2764.7,0.0,B,0.02064,False,BJ2022
UPM J0812-3529,5544743925212648320,0.1172,0.1136,0.1135,0.1218,0.11121,0.11616,0.969,29.2,29.2,0.0,C,0.0,False,BJ2022
2MASS J06105543-4246035,5571232118090082816,0.2601,0.2099,0.2491,0.2695,0.20261,0.21558,0.807,-1156.7,-1158.2,0.0,A,0.00527,False,BJ2022
Gaia DR3 3372104035275483392,3372104035275483392,0.3603,0.4729,0.2952,0.4412,0.43116,0.51927,1.313,1706.1,1708.1,0.0,C,0.0083,False,BJ2022
Gaia DR3 3207963476278403200,3207963476278403200,0.362,0.6171,0.3078,0.4179,0.58084,0.65365,1.705,-513.9,-520.9,0.0,C,0.01341,False,BJ2022
Gaia DR3 4763293626627587840,4763293626627587840,0.4509,0.3424,0.3131,0.6197,0.26807,0.43668,0.759,1535.5,1570.3,0.0,C,0.01956,False,BJ2022
Gaia DR3 929788371508812288,929788371508812288,0.4625,0.4921,0.4321,0.4943,0.47529,0.50903,1.064,-364.1,-364.8,0.0,C,0.00105,False,BJ2022
Gaia DR3 6913732624445112832,6913732624445112832,0.4641,0.9095,0.3145,0.6271,0.79132,1.03541,1.96,2908.1,2946.6,0.0,A,0.53271,False,BJ2022
Gaia DR2 3118526069444386944,3118526069444386944,0.4859,0.5185,0.3182,0.6905,0.39989,0.63529,1.067,-3211.9,-3215.3,0.0,B,0.04039,False,BJ2022
2MASS J22415098-2759470,6608946489396474752,0.5544,0.5817,0.5182,0.5926,0.55614,0.60313,1.049,-2768.0,-2779.1,0.0,A,0.09145,False,BJ2022
LAMOST J045521.42+114441.2,3295253979286613376,0.5589,0.5611,0.519,0.6067,0.53618,0.58815,1.004,1687.0,1692.1,0.0,A,0.01357,False,BJ2022
LSPM J2146+3813,1952802469918554368,0.5677,0.569,0.5658,0.5698,0.56776,0.57018,1.002,82.5,82.6,0.0,A,1e-05,False,BJ2022
2MASS J06342938-7449471,5261593808165974784,0.5971,0.6236,0.5862,0.6085,0.61771,0.62963,1.044,-895.9,-896.3,0.0,A,0.00225,False,BJ2022
Gaia DR3 3054509410098672000,3054509410098672000,0.6156,0.5962,0.6088,0.6223,0.59278,0.60017,0.969,-556.8,-556.5,0.0,B,0.00044,False,BJ2022
Gaia DR3 3001468183198140800,3001468183198140800,0.6204,0.4316,0.6006,0.6384,0.42104,0.44285,0.696,242.0,244.4,0.0,C,0.00167,False,BJ2022
Gaia DR3 4116451378388951424,4116451378388951424,0.6267,0.5375,0.5917,0.6671,0.51894,0.56056,0.858,310.5,313.2,0.0,C,0.00037,False,BJ2022
Gaia DR3 3600338081985998080,3600338081985998080,0.6577,0.615,0.5936,0.727,0.57696,0.65725,0.935,1007.8,1007.4,0.0,B,0.00593,False,BJ2022
2MASS J18281194+2440535,4536673181955253504,0.7117,0.773,0.5066,0.9595,0.63303,0.91588,1.086,1331.9,1339.7,0.0,B,0.02661,False,BJ2022
Gaia DR3 398496965625177216,398496965625177216,0.728,0.6779,0.6757,0.7918,0.64304,0.71445,0.931,467.2,469.4,0.0,C,0.00221,False,BJ2022
2MASS J06200019-0656011,3007538204640292480,0.7424,1.1946,0.5801,0.9189,1.08992,1.28588,1.609,-4231.8,-4270.0,0.0,A,0.48064,False,BJ2022
2MASS J08300286+3815401,911145876981562496,0.7485,0.4739,0.503,1.0138,0.29966,0.65051,0.633,3660.3,3690.2,0.0,B,0.15666,False,BJ2022
EGGR 290,3320184202856435840,0.7772,0.7711,0.7483,0.8126,0.75157,0.79331,0.992,19.0,19.0,0.0,C,0.0,False,BJ2022
Gaia DR3 6483100752169539584,6483100752169539584,0.7872,1.577,0.435,1.0657,1.44013,1.68278,2.003,-3836.6,-3866.8,0.031,C,0.61635,False,BJ2022
