name,simbad_id,source_id,hip,sp_type,system,dist_now_pc,ra,dec,parallax,parallax_error,parallax_catalog,parallax_source,pmra,pmdec,pmra_error,pmdec_error,rv,rv_error,rv_source,rv_component,system_parent,x,y,z,vx,vy,vz,gal_dmin_pc,gal_tmin_myr,lin_dmin_pc,lin_tmin_myr,mc_dmin_med,mc_dmin_lo,mc_dmin_hi,mc_tmin_med,mc_tmin_lo,mc_tmin_hi,mc_censored,mc_model,sys_dmin_pc,sys_dominant,zp_dmin_pc,grade,rv_reliability,astrom_flag,is_wd,featured
HD 7977,,510911618569239040,,,-1,75.68964166234538,20.131652206655247,61.882521645503466,13.211847460727075,0.032221653,,,0.1441100950163912,0.009536279528663762,0.02420454,0.034256466,26.756247,0.21401073,gaia,,,-44.860624133484095,60.95359613394617,-1.0513684740836553,-15.899350892250778,21.516940351667706,-0.36243342956945107,0.021856,-2.764333,0.14659242674829756,-2.766025641431229,0.03775,0.01931,0.06335,-2.76468,-2.78930,-2.73950,0.000,integrated,0.02064,halo scale radius -20%,0.00069,B,good,high_ruwe,0,HD 7977
Gliese 710,HD 168442,4270814637616488064,,K7Vk,-1,19.085319932218944,274.96183629691126,-1.938612759804832,52.396292205290564,0.0171099,,,-0.4140637404226508,-0.10847507667730025,0.019432956,0.016565036,-14.419985,0.2563099,gaia,,,16.819697739830303,8.785959164437582,2.0381674162679437,-12.69884919105697,-6.66275198478311,-1.5114338595856462,0.052256,1.294482,0.05125487869256907,1.2941305269414431,0.05198,0.04910,0.05537,1.29578,1.27253,1.31597,0.000,integrated,0.00127,disc scale height 0.20 kpc,0.00010,A,good,,0,Gliese 710
UPM J0812-3529,,5544743925212648320,,,-1,11.172382195181553,123.11241756747457,-35.49549759663225,89.50642598239092,0.015485769,,,-65.47944990434657,-29.204493755420287,0.016051292,0.017759077,-373.73666,8.178549,gaia,,,-3.2432649934970073,-10.690141489981743,-0.15566316628402177,107.9184553431209,357.83373710516037,1.4607049717774807,0.113508,0.029227,0.11350785661289146,0.02922683799442008,0.11356,0.11121,0.11616,0.02924,0.02864,0.02991,0.000,integrated,0.00000,disc scale height 0.20 kpc,0.00013,C,suspect_wd,,1,UPM J0812-3529
2MASS J06105543-4246035,,5571232118090082816,,,-1,97.71352044512619,92.73103292856273,-42.767607601890234,10.233998278278987,0.008584381,,,0.0940182143946459,0.4613715179271358,0.009573157,0.010966467,82.47995,0.417643,gaia,,,-30.292930981342934,-83.12378210629197,-41.481408590902305,-25.768187194188048,-70.13602978596866,-34.92746162526941,0.210155,-1.157585,0.258384669118454,-1.15837669844626,0.20990,0.20261,0.21558,-1.15817,-1.16326,-1.15325,0.000,integrated,0.00527,disc scale height 0.40 kpc,0.00186,A,good,,0,
Scholz's Star,NAME Scholz's star,,,M9.5+T5,-1,6.720430107526881,110.013557,-8.780528999999998,148.8,1.08,,,-52.7,-95.8,,,83.1,0.4,simbad,,,-4.829673227202897,-4.665449447780361,0.26836318450795466,-58.47574676731862,-59.1452733042883,0.408814109727696,0.281457,-0.078937,0.2814536427848341,-0.07893692771449413,0.28122,0.27701,0.28604,-0.07888,-0.07950,-0.07824,0.000,integrated,0.00000,disc scale height 0.20 kpc,0.00019,B,literature,,0,Scholz's Star
Gaia DR3 1132123559268892288,,1132123559268892288,,,-1,206.6976812383267,146.4240617097901,78.80555096508473,4.837983638756834,0.012870867,,,0.37421417258869816,-0.04844220756031197,0.01530059,0.014917352,-77.260735,2.1494477,gaia,,,-115.65396513555328,125.07047459261862,117.07035561106954,43.49190576102231,-46.751425792263596,-43.49846196677377,0.319009,2.606601,0.9891399736321559,2.6158534034297998,0.32224,0.27399,0.36827,2.60299,2.53508,2.67560,0.000,integrated,0.26372,disc scale height 0.20 kpc,0.01354,A,good,,0,
Gaia DR3 4763293626627587840,,4763293626627587840,,,-1,145.42077834284459,80.91050202597944,-57.54545492789849,6.876596394240144,0.053492766,,,-0.24376484307682492,-0.3049822207330672,0.064026155,0.07576911,-91.13304,7.443695,gaia,,,-8.610478233547187,-119.84706999402016,-81.91301637881963,5.6192738887555045,75.17997482995914,51.20252499371784,0.334196,1.557252,0.4294767076423396,1.560247147605839,0.34243,0.26807,0.43668,1.57027,1.42880,1.71501,0.000,integrated,0.01956,disc scale height 0.20 kpc,0.00476,C,low_snr,,0,
Gaia DR3 3001468183198140800,,3001468183198140800,,,-1,221.23391681605037,94.63031223261366,-10.632227248225552,4.520102588209706,0.030701878,,,-1.6486698736842267,-0.1971523664224419,0.029812312,0.030133642,-885.2032,7.120261,gaia,,,-168.58390840595078,-135.56992582603365,-46.31098128812234,674.4543763861808,543.0997443439959,183.68913825519513,0.431418,0.244373,0.43520909549651304,0.24437323081160967,0.43165,0.42104,0.44285,0.24444,0.24184,0.24726,0.000,integrated,0.00167,disc scale height 0.20 kpc,0.00935,C,extreme,,0,
Gaia DR3 3372104035275483392,,3372104035275483392,,,-1,83.48162851566944,97.04831014511433,18.753581178897004,11.978683427483697,0.035356354,,,0.5572511961511976,0.43754442575526004,0.043406192,0.031177707,-47.449196,3.7352262,gaia,,,-80.97655026114862,-19.642241059383238,5.114975424866317,46.02955837649355,11.218559080595949,-2.6322051521758367,0.472243,1.721680,0.49329583479001876,1.720257532860874,0.47295,0.43116,0.51927,1.70814,1.61024,1.83921,0.000,integrated,0.00830,disc scale height 0.20 kpc,0.00384,C,low_snr,,0,
2MASS J08300286+3815401,,911145876981562496,,,-1,116.37167450687981,127.51198996040647,38.261132803450515,8.593156403716444,0.09411069,,,0.8138178765586955,-0.11189176314922761,0.087195076,0.07442064,-30.745396,0.7285702,gaia,,,-95.12054455179243,-5.904491232976957,66.7801288931472,25.387411747930095,1.444420136028163,-17.288080133699772,0.427516,3.682989,1.7150725543063694,3.700150843648621,0.47389,0.29966,0.65051,3.69025,3.58597,3.78857,0.000,integrated,0.15666,disc scale height 0.40 kpc,0.00293,B,good,high_ruwe,0,
